어휘,뜻풀이
감개무량하다,마음속에서 느끼는 감동이나 느낌이 끝이 없다
감격무지하다,감격스러운 마음을 이루 헤아릴 수 없다
감격스럽다,마음에 깊이 느끼어 크게 감동이 되는 듯하다
감궂다,태도나 외모 따위가 불량스럽고 험상궂다논밭 따위가 일하기 힘들게 거칠고 험하다
감노랗다,감은빛을 약간 띠면서 노랗다
감노르다,감은빛을 띠면서 노르다
감능하다,일을 감당하여 낼 만하다
감다,석탄의 빛깔과 같이 다소 밝고 짙다
감때사납다,사람이 억세고 사납다사물이 험하고 거칠다
감때세다,매우 거칠고 억세다
감람하다,길이 험하여 다니기가 힘들다일이 뜻대로 안 되어 마음이 답답하다
감렬하다,달고 아주 차갑다
감렬하다,달고 톡 쏘는 맛이 있다
감미롭다,맛이 달거나 달콤하다달콤한 느낌이 있다
감미하다,맛이나 느낌 따위가 달콤하고 좋다
감사납다,생김새나 성질이 억세고 사납다논밭 따위가 일하기 힘들게 험하고 거칠다
감사무지하다,고마운 마음을 이루 다 표현할 길이 없다
감산하다,맛이 달고 시다
감숭감숭하다,잔털 따위가 드물게 나서 조금 가무스름하다
감숭하다,잔털 따위가 드물게 나서 가무스름하다
감실감실하다,군데군데 약간 가무스름하다
감암하다,바위가 높고 험하다
감연하다,과감하고 용감하다
감연하다,마음에 차지 아니하여 서운하고 언짢다
감용하다,과감하고 용맹하다
감작감작하다,검은 점이나 얼룩이 자잘하게 여기저기 박혀 있다
감직하다,용감하고 정직하다
감쪽같다,꾸미거나 고친 것이 전혀 알아챌 수 없을 정도로 티가 나지 아니하다
감참하다,산이 깎아지른 듯이 가파르다
감창하다,어떤 느낌이 가슴에 사무쳐 슬프다
감탄스럽다,마음속 깊이 느끼어 탄복할 만하다
감태같다,머리털이 까맣고 윤기가 있다
감파랗다,감은빛을 띠면서 파랗다
감파르다,감은빛을 띠면서 푸르다
감파르잡잡하다,감은빛을 띠면서 약간 짙게 파르스름하다
감파르족족하다,감은빛을 띠면서 칙칙하고 고르지 않게 파르스름하다
감푸르잡잡하다,감은빛을 약간 띠면서 푸르스름하다
감풀다,거칠고 사납다
갑갑궁금하다,몹시 갑갑하고 궁금하다
갑갑하다,옷 따위가 여유 없이 달라붙거나 압박하여 유쾌하지 못한 상태에 있다좁고 닫힌 공간 속에 있어 꽉 막힌 느낌이 있다너무 더디거나 지루하여 견디기에 진력이 나다가슴이나 배 속이 꽉 막힌 듯이 불편하다일이 뜻대로 되지 않아 답답하다
갑작스럽다,미처 생각할 겨를이 없이 급하게 일어난 데가 있다
값낮다, 값싸다
값높다, 값비싸다
값비싸다,물건 따위의 값이 높다들이는 노력이나 공이 적지 아니하다
값싸다,물건 따위의 값이 낮다가치나 보람이 적고 보잘것없다
값없다,물건 따위가 너무 흔하여 가치가 별로 없다물건이 값을 칠 수 없을 정도로 아주 귀하고 가치가 높다보람이나 대가 따위가 없다
값있다,물건 따위가 상당히 가치가 있다보람이나 의의 따위가 있다
