어휘,뜻풀이
자질구레하다,모두가 잘고 시시하여 대수롭지 아니하다
자질자질하다,물기가 말라서 잦아드는 데가 있다
자차분하다,모두가 잘고 시시하여 대수롭지 아니하다잘고 아담하게 차분하다
자협하다,스스로 생각함이 좁다
자혜롭다,인자하고 은혜로운 데가 있다
작다,길이 넓이 부피 따위가 비교 대상이나 보통보다 덜하다정하여진 크기에 모자라서 맞지 아니하다일의 규모 범위 정도 중요성 따위가 비교 대상이나 보통 수준에 미치지 못하다사람됨이나 생각 따위가 좁고 보잘것없다소리가 낮거나 약하다돈의 액수가 적거나 단위가 낮다범위를 좁힌다면의 뜻으로 이르는 말
작다, 적다
작다랗다,길이 넓이 부피 따위가 꽤 작다
작달막하다,키가 몸피에 비하여 꽤 작다
작디작다,사물의 크기나 범위 정도 따위가 보통보다 매우 작다
작별스럽다, 이상스럽다
작약하다,몸매가 가냘프고 아리땁다
작연하다,밝게 빛나고 있다뚜렷하고 확실하다
작연하다,침착하고 여유가 있다
작유여지하다,말이나 행동이 너그럽고 침착하다
작작유여하다,말이나 행동이 너그럽고 침착하다
작작하다,꽃이 핀 모양이 몹시 화려하고 찬란하다
작작하다,빠듯하지 아니하고 넉넉하다
작작하다,깨끗하고 산뜻하다
잔독하다,잔인하고 독하다
잔드근하다,태도와 행동이 침착하고 참을성이 있다반죽 따위가 잘 끊어지지 아니할 만큼 약간 녹진하고 차지다
잔득하다,성질이나 행동이 조금 검질기게 끈기가 있다잘 끊어지지 아니할 정도로 녹진하고 차지다
잔망스럽다,보기에 몹시 약하고 가냘픈 데가 있다보기에 태도나 행동이 자질구레하고 가벼운 데가 있다얄밉도록 맹랑한 데가 있다
잔망하다,몸이 몹시 약하고 가냘프다행동이 자질구레하고 가볍다얄밉도록 맹랑하다
잔물잔물하다,눈가나 살가죽이 약간 짓무르고 진물이 괴어 있다
잔미하다,가냘프고 약하며 변변치 못하다
잔밉다,몹시 얄밉다
잔박하다,쇠잔하고 가난하다
잔악무도하다,말할 수 없이 잔인하고 악독하다
잔악하다,잔인하고 악하다
잔약하다,가냘프고 약하다
잔열하다,가냘프고 변변하지 못하다
잔원하다,물이나 눈물 따위의 흐름이 잔잔하고 조용하다
잔인무도하다,더할 수 없이 잔인하다
잔인무쌍하다,더할 수 없이 잔인하다
잔인박행하다,행동 따위가 잔인하고도 야박하다
잔인스럽다,보기에 인정이 없고 아주 모진 데가 있다
잔인하다,인정이 없고 아주 모질다
잔잉스럽다, 자닝스럽다
잔잉하다, 자닝하다 잔인하다
잔자누룩하다,소란하거나 시끄럽지 아니하고 진정되어 잔잔하다
잔자름하다, 자잘하다
잔작하다,나이에 비해 어리고 좀스럽다
잔잔하다,바람이나 물결 따위가 가라앉아 잠잠하다분위기가 고요하고 평화롭다태도 따위가 차분하고 평온하다소리가 조용하고 나지막하다
잔잔하다,기질이 몹시 나약하다
잔잔하다,흐르는 물소리가 가늘고 나지막하다내리는 비가 가늘고 조용하다
잔조롭다,움직이는 모양새가 작아 잔잔한 느낌이 있다
잔졸하다,몹시 약하고 옹졸하다
잔질다,마음이 약하고 하는 짓이 잘다
잔포하다,잔인하고 포학하다
잔풍지다,잔풍이 자주 부는 듯하다
잔풍하다,잔풍이 부는 듯하다
잔피하다,아주 가냘프고 약하여 골골하다
잔학무도하다,더할 수 없이 잔인하고 포학하다
잔학하다,잔인하고 포학하다
잔혈하다,가냘프고 연약하며 의지할 데가 없다
잔혹하다,잔인하고 혹독하다
잗다랗다,꽤 잘다아주 자질구레하다볼만한 가치가 없을 정도로 하찮다
잗달다,하는 짓이 잘고 인색하다
잗닿다,잗다랗다의 준말잗다랗다의 준말잗다랗다의 준말
잗젊다,나이보다 젊어 보이다
잘긋하다, 잘깃하다
잘깃잘깃하다,매우 질긴 듯하다성질이나 행동이 매우 검질기다
잘깃하다,조금 질긴 듯한 느낌이 있다성질이나 행동이 조금 검질기다
잘다,알곡이나 과일 모래 따위의 둥근 물건이나 글씨 따위의 크기가 작다길이가 있는 물건의 몸피가 가늘고 작다일이 작고 소소하다세밀하고 자세하다생각이나 성질이 대담하지 못하고 좀스럽다
잘다랗다, 잗다랗다
잘똑잘똑하다,기다란 물건이 군데군데 깊게 패어 오목하다
잘똑하다,기다란 물건의 한 부분이 깊게 패어 오목하다
잘량하다, 알량하다
잘록잘록하다,기다란 물건의 여러 군데가 패어 들어가 오목하다
잘록하다,기다란 물건의 한 군데가 패어 들어가 오목하다
잘룩하다, 잘록하다
잘바닥하다,진흙이나 반죽 따위가 물기가 많아 보드랍게 질다 잘파닥하다보다 여린 느낌을 준다
잘박하다,잘바닥하다의 준말
잘쏙잘쏙하다,긴 물건의 여러 군데가 오목하게 들어가 잘록하다
잘쏙하다,긴 물건의 한 부분이 오목하게 쏙 들어가 있다
잘착하다,진흙이나 반죽 따위가 물기가 많아 좀 차지고 질다
잘카닥하다,진흙이나 반죽 따위가 물기가 많아 조금 질다
잘칵하다,잘카닥하다의 준말
잘파닥하다,진흙이나 반죽 따위가 물기가 많아 보드랍게 질다
잘팍하다,잘파닥하다의 준말
잘판하다,조금 질거나 젖어 있다
잠록하다,바람이 없이 날이 우중충하다
잠벽하다,물이 깊어 푸르다
잠아하다,아주 높다인심이 험악하다
잠연하다,물이 깊고 고요하다침착하고 무게가 있다
잠연하다,분위기나 활동 따위가 소란하지 않고 조용하다말없이 가만히 있다
잠월하다,남몰래 우쭐대는 것이 주제넘다
잠잖다,품격이 높고 고상하다몸가짐이 의젓하고 예절이 바르다
잠잠하다,분위기나 활동 따위가 소란하지 않고 조용하다말없이 가만히 있다
잠적하다,외로이 솟아 있는 상태이다쓸쓸하고 적막하다
잠적하다,고요하고 호젓하다
잠포록하다,날이 흐리고 바람기가 없다
잡다하다,잡스러운 여러 가지가 뒤섞여 너저분하다
잡답하다,북적북적하고 복잡하다
잡되다,여러 가지가 뒤섞여 순수하지 아니하다됨됨이가 조촐하지 못하고 잡상스럽고 막되다중요하지 않고 보잘것없다
잡란하다,뒤섞여 어지럽다거칠고 좋지 못하다
잡박하다,질서가 없이 이것저것 마구 뒤섞여 있다
잡살스럽다,몹시 잡스럽다
잡상스럽다,잡되고 상스러운 데가 있다
잡성스럽다, 잡상스럽다
잡스럽다,잡되고 상스럽다
잡연하다,뒤섞이어 어지럽다
잡착하다,갈피를 잡을 수 없이 뒤섞여 어수선하다
잡탕스럽다,난잡하고 음탕한 데가 있다
장건하다,기골이 장대하고 튼튼하다
장걸하다,기골이 장대하고 우람하다
장결하다,장엄하고 깨끗하다
장경하다,엄숙하고 공손하다
장구하다,매우 길고 오래다
장그랍다,쟁그랍다를 낮잡아 이르는 말
장근하다,거의 가깝다
장난스럽다,장난하는 듯한 태도가 있다
장대하다,허우대가 크고 튼튼하다기상이 씩씩하고 크다
장대하다,길고 크다
장대하다,규모가 넓고 크다일이 크게 벌어져 거창하다
장려하다,웅장하고 화려하다
장력세다,씩씩하고 굳세어 무서움을 타지 아니하다
장렬하다,의기가 씩씩하고 열렬하다
장맹하다,씩씩하고 용맹스럽다
장명하다,목숨이 길다
장미하다,장대하고도 아름답다
장벽무의하다,전혀 의지할 곳이 없다
장비하다,슬프면서도 그 감정을 억눌러 씩씩하고 장하다
장성세다, 장력세다
장성하다,기운이 씩씩하고 힘차다
장승같다,키가 멋없이 껑충하다우두커니 멍한 채 있다
장엄하다,씩씩하고 웅장하며 위엄 있고 엄숙하다
장연하다,옥이나 쇠붙이 따위가 울리는 소리가 크다
장용하다,건장하고 용감하다
장용하다,글이나 말 따위가 쓸데없이 길다
장원하다,끝없이 길고 멀다
장장하다,길고 길다
장장하다,맑거나 밝으며 아름답다표가 나게 뚜렷하고 명백하다
장절하다,아주 장하고 뛰어나다
장중하다,장엄하고 무게가 있다
장차다,곧고도 길다거리가 길고도 멀다시간이 길고 오래다
장쾌하다,가슴이 벅차도록 장하고 통쾌하다
장태평하다,아무 걱정 없이 늘 태평하다
장하다,기상이나 인품이 훌륭하다크고 성대하다마음이 흐뭇하고 자랑스럽다
장하다,어떤 일에 매우 능하다
장한하다,기운차고 굳세다
장한하다,오래도록 한가하고 평안하다
장허하다,오장이 허하다
장활하다,장하고 활발하다
장활하다,아득히 멀고 넓다
장황스럽다,매우 길고 번거로운 데가 있다
장황하다,매우 길고 번거롭다
잦다,여러 차례로 거듭되는 간격이 매우 짧다잇따라 자주 있다
잦바듬하다,뒤로 넘어질 듯이 비스듬하다어떤 일에 대하여 탐탁해하거나 즐겨 하는 빛이 없다
재겹다,몹시 지겹다
재긋재긋하다, 자긋자긋하다
재다,동작이 재빠르다참을성이 모자라 입놀림이 가볍다온도에 대한 물건의 반응이 빠르다
재둔하다,재주가 무디어 둔하다
재롱스럽다,말이나 행동에 재미와 귀여움이 있다
재미롭다,아기자기하게 즐겁고 유쾌한 느낌이 꽤 있다
재미스럽다,아기자기하게 즐겁고 유쾌한 데가 있다
재미없다,아기자기하게 즐겁고 유쾌한 기분이나 느낌이 없다구어체로 신상에 좋지 아니하거나 해로운 일이 있게 되다
재미있다,아기자기하게 즐겁고 유쾌한 기분이나 느낌이 있다
재미적다,일의 성과가 못마땅하다마음에 걸리어 편하지 아니하다구어체로 좋지 아니한 일이 있게 되다
재민하다,재주와 지혜가 있고 민첩하다
재밌다,재미있다의 준말
재바르다,동작 따위가 재고 빠르다 재빠르다보다 여린 느낌을 준다
재발머리없다, 자발머리없다
재발없다, 자발없다
재부족하다,재주가 모자라다
재빠르다,동작 따위가 재고 빠르다
재사스럽다,생각에 재치가 있다
재소난면하다,어떤 처지나 일에서 벗어나기가 어렵다
재승덕박하다,재주는 뛰어나지만 덕이 적다
재승덕하다,재주가 덕보다 더 뛰어나다
재승박덕하다,재주는 뛰어나지만 덕이 적다
재안하다,어지러움이나 혼란이 사라지고 다시 평안하다
재양하다,절기가 비로소 따뜻하다
재장바르다,무슨 일을 시작하려는 첫머리에 좋지 못한 일이 생겨 꺼림칙하다
재재바르다,재잘재잘 수다스러워 어수선하면서도 즐겁고 유쾌한 느낌이 있다
재재하다,좀 수다스럽게 재잘거리어 어지럽다
잽싸다,동작이 매우 빠르고 날래다
쟁그랍다,보거나 만지기에 소름이 끼칠 정도로 조금 흉하거나 끔찍하다
쟁글쟁글하다,보거나 만지기에 소름이 끼칠 정도로 매우 흉하거나 끔찍하다미운 사람의 실수를 보아 아주 고소하다
쟁란하다,시끄럽고 어수선하다
쟁명하다,날씨가 깨끗하고 맑게 개어 있다
쟁연하다,쇠붙이가 부딪쳐 울리는 것같이 소리가 날카롭다
쟁영하다,산이 높고 가파르다깊고 위험하다세월이 오래다
쟁쟁하다,옥이 맞부딪쳐 울리는 소리가 맑다전에 들었던 말이나 소리가 귀에 울리는 듯하다목소리가 매우 또렷하고 맑다
쟁쟁하다,쇠붙이 따위가 맞부딪쳐 울리는 소리가 맑다
쟁쟁하다,여러 사람 가운데서 매우 뛰어나다
저급하다,내용 성질 품질 따위의 정도가 낮다
저능하다,지능이 보통보다 썩 낮다 태어날 때부터 그런 경우와 병에 걸려 그렇게 되는 경우가 있다
저단하다,낮고 짧다
저대하다,드러나게 크다
저러루하다,대개 정도나 형편 따위가 저러하다
저러저러하다,저러하고 저러하다대개 저러하여 별로 특별하지 아니하다
저러하다,저렇다의 본말
저렇다,성질 모양 상태 따위가 저와 같다
저렴하다,물건 따위의 값이 싸다
저리저리하다,피가 돌지 못하여 자꾸 저리다
저릿저릿하다,매우 또는 자꾸 저린 듯하다심리적 자극을 받아 마음이 순간적으로 매우 흥분되고 떨리는 듯하다
